id,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price
6901257,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5
6304928,Entire home/apt,7,1,strict,TRUE,t,93,3,3,5
7919400,Entire home/apt,5,1,moderate,TRUE,t,92,1,3,5
13418779,Entire home/apt,4,1,flexible,TRUE,f,,2,2,7
3808709,Entire home/apt,2,1,moderate,TRUE,t,40,0,1,5
12422935,Private room,2,1,strict,TRUE,t,100,1,1,4
11825529,Entire home/apt,3,1,moderate,TRUE,t,97,1,1,4
13971273,Entire home/apt,2,1,moderate,TRUE,f,93,1,1,5
180792,Private room,2,1,moderate,TRUE,f,99,1,1,5
5385260,Private room,2,1,moderate,TRUE,t,90,1,1,4
5578513,Private room,2,1,strict,TRUE,f,93,1,1,5
17423675,Entire home/apt,4,2,strict,TRUE,f,97,2,2,5
14066228,Private room,2,1,flexible,TRUE,f,,1,1,4
2658946,Entire home/apt,6,2,strict,TRUE,t,89,2,3,5
583490,Entire home/apt,2,1,strict,TRUE,f,100,1,1,5
6226658,Private room,2,2,moderate,TRUE,f,,1,1,4
7499179,Private room,2,1,strict,FALSE,f,91,1,1,4
14648556,Private room,2,2,strict,TRUE,f,88,1,1,5
17589436,Entire home/apt,2,1,strict,TRUE,f,86,1,2,5
18224863,Entire home/apt,8,1,strict,TRUE,t,72,3,3,5
7264511,Private room,2,1,strict,TRUE,f,98,1,1,4
16679342,Private room,2,2,strict,TRUE,f,89,1,1,4
3563677,Entire home/apt,4,1,moderate,TRUE,t,99,1,1,5
17615783,Private room,2,1,moderate,TRUE,f,100,1,1,4
2479317,Entire home/apt,4,1,moderate,TRUE,f,,1,2,7
14122244,Entire home/apt,6,1,strict,TRUE,f,100,3,3,5
19407360,Entire home/apt,2,1,flexible,TRUE,f,100,1,1,5
14490881,Entire home/apt,4,1,strict,TRUE,f,100,2,2,5
851978,Entire home/apt,3,1,flexible,TRUE,f,95,1,2,5
4734170,Private room,3,1,strict,TRUE,f,88,1,2,5
421056,Private room,2,1,strict,TRUE,f,100,1,1,4
5520582,Private room,2,1,strict,TRUE,f,,1,1,4
8908966,Entire home/apt,4,1,strict,TRUE,f,96,2,3,5
10994968,Private room,1,,moderate,TRUE,f,99,1,1,4
5559765,Entire home/apt,4,1,flexible,TRUE,t,,1,2,4
15705862,Private room,2,1,moderate,TRUE,t,96,1,1,4
16904896,Private room,2,1,strict,TRUE,t,96,1,1,5
4209927,Private room,1,1,strict,TRUE,f,84,1,1,4
12232154,Entire home/apt,2,,strict,TRUE,f,100,1,1,5
4680055,Private room,2,1,strict,TRUE,t,96,1,1,5
19813606,Entire home/apt,5,2,strict,TRUE,t,,2,2,6
18191678,Shared room,4,1,moderate,TRUE,f,,1,1,5
12428036,Private room,8,1,moderate,TRUE,t,92,1,7,4
4014942,Entire home/apt,4,2,moderate,TRUE,f,95,2,2,5
11376382,Entire home/apt,2,1,flexible,FALSE,t,80,1,1,6
15238989,Entire home/apt,2,1,flexible,FALSE,f,,1,1,6
18004987,Entire home/apt,2,1,moderate,TRUE,f,,1,1,5
5117069,Private room,1,1,flexible,FALSE,f,,1,1,4
16246049,Private room,2,1,flexible,FALSE,f,,1,1,4
17708004,Private room,2,1,strict,TRUE,t,88,1,1,4
13435559,Private room,2,1,strict,FALSE,f,96,1,1,4
17621139,Entire home/apt,2,1,flexible,TRUE,f,,1,1,5
3530517,Entire home/apt,6,2,flexible,TRUE,t,97,3,3,7
13412641,Entire home/apt,2,1,flexible,TRUE,f,,1,1,5
17078757,Private room,2,1,flexible,TRUE,f,100,1,1,5
6443678,Entire home/apt,5,1,strict,TRUE,f,100,0,2,5
8926164,Entire home/apt,2,1,strict,TRUE,f,94,1,1,5
17556957,Entire home/apt,2,1,strict,TRUE,f,80,1,1,5
2503128,Private room,2,1,strict,TRUE,f,100,3,1,4
9471893,Entire home/apt,4,1,strict,TRUE,f,93,2,2,6
4274462,Entire home/apt,6,1,strict,TRUE,f,100,2,4,5
1948096,Private room,2,1,flexible,FALSE,f,,1,1,4
11712092,Entire home/apt,9,3,flexible,FALSE,f,,4,4,7
20918988,Private room,2,2,flexible,FALSE,f,,1,1,6
5806687,Entire home/apt,1,1,flexible,FALSE,f,,0,1,5
16474211,Entire home/apt,3,1,moderate,TRUE,f,100,1,1,5
15187281,Entire home/apt,5,1,flexible,TRUE,t,,2,3,6
20269518,Entire home/apt,3,1,moderate,TRUE,f,100,1,1,5
19247305,Entire home/apt,6,2,strict,TRUE,t,89,2,2,5
11095719,Entire home/apt,2,1,flexible,TRUE,f,100,0,1,5
4285537,Private room,2,1,flexible,TRUE,f,100,1,1,5
14668858,Entire home/apt,2,1,moderate,FALSE,f,,1,1,5
7822736,Entire home/apt,2,1,flexible,TRUE,f,,1,1,5
15990686,Private room,2,1,strict,TRUE,f,87,1,1,4
19135811,Private room,2,1,flexible,FALSE,f,,1,1,5
15956956,Entire home/apt,2,2,strict,TRUE,f,100,1,1,5
6924942,Private room,2,1,moderate,TRUE,f,100,2,2,5
6972777,Private room,1,1,flexible,TRUE,f,80,1,1,4
14253838,Private room,2,1,moderate,FALSE,f,,1,1,4
20738762,Entire home/apt,6,1,flexible,TRUE,f,,2,2,5
16221430,Entire home/apt,3,1,flexible,TRUE,f,100,1,1,6
